Date,Period,Price
1/1/1990,1,2590.54
1/2/1990,2,2627.25
1/3/1990,3,2707.21
1/4/1990,4,2656.76
1/5/1990,5,2876.66
1/6/1990,6,2880.69
1/7/1990,7,2905.20
1/8/1990,8,2614.36
1/9/1990,9,2452.48
1/10/1990,10,2442.33
1/11/1990,11,2559.65
1/12/1990,12,2633.66
1/1/1991,13,2736.39
1/2/1991,14,2882.18
1/3/1991,15,2913.86
1/4/1991,16,2887.87
1/5/1991,17,3027.50
1/6/1991,18,2906.75
1/7/1991,19,3024.82
1/8/1991,20,3043.60
1/9/1991,21,3016.77
1/10/1991,22,3069.10
1/11/1991,23,2894.68
1/12/1991,24,3168.83
1/1/1992,25,3223.40
1/2/1992,26,3267.70
1/3/1992,27,3235.50
1/4/1992,28,3359.10
1/5/1992,29,3396.90
1/6/1992,30,3318.50
1/7/1992,31,3393.80
1/8/1992,32,3257.40
1/9/1992,33,3271.70
1/10/1992,34,3226.30
1/11/1992,35,3305.20
1/12/1992,36,3301.11
1/1/1993,37,3310.00
1/2/1993,38,3370.81
1/3/1993,39,3435.11
1/4/1993,40,3427.55
1/5/1993,41,3527.43
1/6/1993,42,3516.08
1/7/1993,43,3539.47
1/8/1993,44,3651.25
1/9/1993,45,3555.12
1/10/1993,46,3680.59
1/11/1993,47,3683.95
1/12/1993,48,3754.09
1/1/1994,49,3978.36
1/2/1994,50,3832.02
1/3/1994,51,3635.96
1/4/1994,52,3681.69
1/5/1994,53,3758.37
1/6/1994,54,3624.96
1/7/1994,55,3764.50
1/8/1994,56,3913.42
1/9/1994,57,3843.19
1/10/1994,58,3908.12
1/11/1994,59,3739.23
1/12/1994,60,3834.44
1/1/1995,61,3843.86
1/2/1995,62,4011.05
1/3/1995,63,4157.69
1/4/1995,64,4321.27
1/5/1995,65,4465.14
1/6/1995,66,4556.10
1/7/1995,67,4708.47
1/8/1995,68,4610.56
1/9/1995,69,4789.08
1/10/1995,70,4755.48
1/11/1995,71,5074.49
1/12/1995,72,5117.12
1/1/1996,73,5395.30
1/2/1996,74,5485.62
1/3/1996,75,5587.14
1/4/1996,76,5569.08
1/5/1996,77,5643.18
1/6/1996,78,5654.63
1/7/1996,79,5528.91
1/8/1996,80,5616.21
1/9/1996,81,5882.17
1/10/1996,82,6029.38
1/11/1996,83,6521.70
1/12/1996,84,6448.27
1/1/1997,85,6813.09
1/2/1997,86,6877.74
1/3/1997,87,6583.48
1/4/1997,88,7009.00
1/5/1997,89,7331.00
1/6/1997,90,7672.80
1/7/1997,91,8222.60
1/8/1997,92,7622.40
1/9/1997,93,7945.30
1/10/1997,94,7442.10
1/11/1997,95,7823.10
1/12/1997,96,7908.30
1/1/1998,97,7906.50
1/2/1998,98,8545.72
1/3/1998,99,8799.81
1/4/1998,100,9063.37
1/5/1998,101,8899.95
1/6/1998,102,8952.02
1/7/1998,103,8883.29
1/8/1998,104,7539.07
1/9/1998,105,7842.62
1/10/1998,106,8592.10
1/11/1998,107,9116.55
1/12/1998,108,9181.43
1/1/1999,109,9358.83
1/2/1999,110,9306.58
1/3/1999,111,9786.16
1/4/1999,112,10789.04
1/5/1999,113,10559.74
1/6/1999,114,10970.80
1/7/1999,115,10655.15
1/8/1999,116,10829.28
1/9/1999,117,10336.95
1/10/1999,118,10729.86
1/11/1999,119,10877.81
1/12/1999,120,11497.12
1/1/2000,121,10940.53
1/2/2000,122,10128.31
1/3/2000,123,10921.92
1/4/2000,124,10733.91
1/5/2000,125,10522.33
1/6/2000,126,10447.89
1/7/2000,127,10521.98
1/8/2000,128,11215.10
1/9/2000,129,10650.92
1/10/2000,130,10971.14
1/11/2000,131,10414.49
1/12/2000,132,10787.99
1/1/2001,133,10887.36
1/2/2001,134,10495.28
1/3/2001,135,9878.78
1/4/2001,136,10734.97
1/5/2001,137,10911.94
1/6/2001,138,10502.40
1/7/2001,139,10522.81
1/8/2001,140,9949.75
1/9/2001,141,8847.56
1/10/2001,142,9075.14
1/11/2001,143,9851.56
1/12/2001,144,10021.57
1/1/2002,145,9920.00
1/2/2002,146,10106.13
1/3/2002,147,10403.94
1/4/2002,148,9946.22
1/5/2002,149,9925.25
1/6/2002,150,9243.26
1/7/2002,151,8736.59
1/8/2002,152,8663.50
1/9/2002,153,7591.93
1/10/2002,154,8397.03
1/11/2002,155,8896.09
1/12/2002,156,8341.63
1/1/2003,157,8053.81
1/2/2003,158,7891.08
1/3/2003,159,7992.13
1/4/2003,160,8480.09
1/5/2003,161,8850.26
1/6/2003,162,8985.44
1/7/2003,163,9233.80
1/8/2003,164,9415.82
1/9/2003,165,9275.06
1/10/2003,166,9801.12
1/11/2003,167,9782.46
1/12/2003,168,10453.92
1/1/2004,169,10488.07
1/2/2004,170,10583.92
1/3/2004,171,10357.70
1/4/2004,172,10225.57
1/5/2004,173,10188.45
1/6/2004,174,10435.48
1/7/2004,175,10139.71
1/8/2004,176,10173.92
1/9/2004,177,10080.27
1/10/2004,178,10027.47
1/11/2004,179,10428.02
1/12/2004,180,10783.01
1/1/2005,181,10489.94
1/2/2005,182,10766.23
1/3/2005,183,10503.76
1/4/2005,184,10192.51
1/5/2005,185,10467.48
1/6/2005,186,10274.97
1/7/2005,187,10640.91
1/8/2005,188,10481.60
1/9/2005,189,10568.70
1/10/2005,190,10440.07
1/11/2005,191,10805.87
