Date,Price,Open,High,Low,Vol.,Change %
1/1/1990,2590.54,2748.72,2834.04,2513.06,22.61M,-5.91%
1/2/1990,2627.25,2594.14,2674.32,2540.99,19.85M,1.42%
1/3/1990,2707.21,2621.62,2775.00,2607.88,20.16M,3.04%
1/4/1990,2656.76,2684.01,2793.47,2627.70,16.82M,-1.86%
1/5/1990,2876.66,2668.46,2908.21,2651.35,20.76M,8.28%
1/6/1990,2880.69,2900.97,2956.93,2821.53,21.29M,0.14%
1/7/1990,2905.20,2883.17,3024.26,2833.17,21.17M,0.85%
1/8/1990,2614.36,2909.90,2931.19,2459.41,26.24M,-10.01%
1/9/1990,2452.48,2590.84,2665.35,2367.82,20.45M,-6.19%
1/10/1990,2442.33,2474.25,2565.35,2344.31,21.78M,-0.41%
1/11/1990,2559.65,2441.83,2581.19,2415.59,19.57M,4.80%
1/12/1990,2633.66,2572.27,2662.62,2534.65,18.38M,2.89%
1/1/1991,2736.39,2627.23,2747.28,2447.03,22.23M,3.90%
1/2/1991,2882.18,2735.39,2955.20,2694.31,29.73M,5.33%
1/3/1991,2913.86,2859.65,3017.82,2829.21,24.24M,1.10%
1/4/1991,2887.87,2901.98,3030.45,2848.51,22.17M,-0.89%
1/5/1991,3027.50,2901.48,3044.50,2834.53,20.69M,4.84%
1/6/1991,2906.75,3023.03,3057.47,2879.25,20.16M,-3.99%
1/7/1991,3024.82,2925.54,3039.58,2897.36,17.46M,4.06%
1/8/1991,3043.60,3022.80,3068.65,2836.31,19.79M,0.62%
1/9/1991,3016.77,3042.04,3066.64,2963.10,19.42M,-0.88%
1/10/1991,3069.10,3026.16,3091.01,2925.54,20.40M,1.73%
1/11/1991,2894.68,3075.36,3091.91,2861.14,19.67M,-5.68%
1/12/1991,3168.83,2866.28,3204.61,2832.29,22.95M,9.47%
1/1/1992,3223.40,3152.10,3299.19,3139.31,26.44M,1.72%
1/2/1992,3267.70,3223.40,3293.38,3207.96,22.58M,1.37%
1/3/1992,3235.50,3267.70,3299.64,3188.28,18.98M,-0.99%
1/4/1992,3359.10,3235.50,3366.50,3161.23,22.92M,3.82%
1/5/1992,3396.90,3359.10,3440.67,3324.02,20.45M,1.13%
1/6/1992,3318.50,3396.90,3422.28,3254.05,22.45M,-2.31%
1/7/1992,3393.80,3318.80,3402.96,3266.53,21.06M,2.27%
1/8/1992,3257.40,3393.80,3399.99,3207.10,134.60K,-4.02%
1/9/1992,3271.70,3257.40,3376.49,3242.76,21.71M,0.44%
1/10/1992,3226.30,3271.70,3280.85,3095.79,24.96M,-1.39%
1/11/1992,3305.20,3226.30,3308.41,3184.67,23.77M,2.45%
1/12/1992,3301.11,3305.20,3352.71,3248.16,23.84M,-0.12%
1/1/1993,3310.00,3301.10,3320.83,3231.95,32.10M,0.27%
1/2/1993,3370.81,3310.00,3456.73,3266.80,31.55M,1.84%
1/3/1993,3435.11,3370.80,3482.12,3343.26,26.60M,1.91%
1/4/1993,3427.55,3435.10,3481.58,3363.79,31.87M,-0.22%
1/5/1993,3527.43,3439.44,3565.07,3415.33,24.52M,2.91%
1/6/1993,3516.08,3527.43,3569.78,3462.66,22.06M,-0.32%
1/7/1993,3539.47,3516.10,3583.50,3449.93,25.06M,0.67%
1/8/1993,3651.25,3539.50,3663.83,3536.96,24.83M,3.16%
1/9/1993,3555.12,3651.30,3655.72,3507.06,24.32M,-2.63%
1/10/1993,3680.59,3555.10,3708.82,3553.72,26.38M,3.53%
1/11/1993,3683.95,3680.60,3717.76,3600.67,28.57M,0.09%
1/12/1993,3754.09,3685.10,3799.92,3685.06,24.18M,1.90%
1/1/1994,3978.36,3754.10,3985.96,3742.81,30.76M,5.97%
1/2/1994,3832.02,3978.40,3982.02,3632.02,28.04M,-3.68%
1/3/1994,3635.96,3832.00,3895.94,3559.09,31.08M,-5.12%
1/4/1994,3681.69,3634.50,3710.84,3552.47,30.98M,1.26%
1/5/1994,3758.37,3681.70,3772.79,3623.10,26.34M,2.08%
1/6/1994,3624.96,3758.40,3823.39,3610.40,26.37M,-3.55%
1/7/1994,3764.50,3625.00,3770.00,3623.02,23.77M,3.85%
1/8/1994,3913.42,3764.50,3939.32,3736.33,28.81M,3.96%
1/9/1994,3843.19,3913.10,3992.64,3820.31,29.47M,-1.79%
1/10/1994,3908.12,3843.20,3949.84,3747.97,31.82M,1.69%
1/11/1994,3739.23,3907.78,3907.78,3638.63,30.54M,-4.32%
1/12/1994,3834.44,3739.20,3866.40,3655.11,26.71M,2.55%
1/1/1995,3843.86,3834.40,3936.72,3817.26,31.18M,0.25%
1/2/1995,4011.05,3843.90,4021.23,3831.41,31.50M,4.35%
1/3/1995,4157.69,4011.10,4198.84,3945.69,32.04M,3.66%
1/4/1995,4321.27,4157.70,4328.53,4155.96,30.38M,3.93%
1/5/1995,4465.14,4321.30,4465.14,4301.56,32.70M,3.33%
1/6/1995,4556.10,4465.10,4593.10,4406.69,30.16M,2.04%
1/7/1995,4708.47,4556.10,4747.21,4551.25,34.74M,3.34%
1/8/1995,4610.56,4708.50,4754.96,4570.85,27.96M,-2.08%
1/9/1995,4789.08,4610.20,4816.54,4607.03,36.81M,3.87%
1/10/1995,4755.48,4789.80,4816.90,4659.74,32.48M,-0.70%
1/11/1995,5074.49,4753.70,5118.93,4744.64,29.76M,6.71%
1/12/1995,5117.12,5075.60,5235.62,5051.73,31.13M,0.84%
1/1/1996,5395.30,5115.70,5408.67,5014.52,40.72M,5.44%
1/2/1996,5485.62,5394.90,5659.40,5348.34,40.45M,1.67%
1/3/1996,5587.14,5488.20,5709.97,5424.20,41.10M,1.85%
